Tissue.origin	Cancer.type	Subtype	Gene.name1	Aberrance.type1	Aberrance.site1	Gene.name2	Aberrance.type2	Aberrance.site2	Description	Source	PMID
Skin	Melanoma	NA	GNAQ	mutation	NA	NRAS	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	FGFR1	mutation	NA	KIT	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	GNAQ	mutation	NA	KIT	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	FGFR1	mutation	NA	GNAQ	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	CDK4	mutation	NA	CDKN2A	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	CDKN2A	mutation	NA	RB1	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	CDK4	mutation	NA	RB1	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	NRAS	mutation	NA	PTEN	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	KIT	mutation	NA	PTEN	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	FGFR1	mutation	NA	PTEN	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	PIK3CA	mutation	NA	PTEN	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	PIK3R1	mutation	NA	PTEN	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	AKT3	mutation	NA	PTEN	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	NRAS	mutation	NA	PIK3CA	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	NRAS	mutation	NA	PIK3R1	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	AKT3	mutation	NA	NRAS	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	KIT	mutation	NA	PIK3CA	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	KIT	mutation	NA	PIK3R1	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	AKT3	mutation	NA	KIT	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	FGFR1	mutation	NA	PIK3CA	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	FGFR1	mutation	NA	PIK3R1	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	AKT3	mutation	NA	FGFR1	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	PIK3CA	mutation	NA	PIK3R1	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	AKT3	mutation	NA	PIK3CA	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	AKT3	mutation	NA	PIK3R1	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	CDKN2A	mutation	NA	TP53	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	ABCC9	mutation	NA	PIK3CA	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	ABCC9	mutation	NA	RPL5	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	ABCC9	mutation	NA	TRAT1	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	PIK3CA	mutation	NA	RPL5	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	PIK3CA	mutation	NA	TRAT1	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	RPL5	mutation	NA	TRAT1	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	PIK3C2G	mutation	NA	PIK3CA	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	PIK3C2G	mutation	NA	RPL5	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	PIK3C2G	mutation	NA	TRAT1	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	NF1	mutation	NA	PIK3C2G	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	NF1	mutation	NA	PIK3R1	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	NF1	mutation	NA	TRAT1	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	PIK3C2G	mutation	NA	PIK3R1	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	PIK3R1	mutation	NA	TRAT1	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	ABCC9	mutation	NA	PIK3C2G	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	ABCC9	mutation	NA	SPTA1	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	PIK3C2G	mutation	NA	SPTA1	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	PIK3CA	mutation	NA	SPTA1	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	ABCC9	mutation	NA	KEL	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	KEL	mutation	NA	PIK3C2G	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	KEL	mutation	NA	PIK3CA	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	ABCC9	mutation	NA	PIK3R1	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	PIK3R1	mutation	NA	RPL5	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	KEL	mutation	NA	RPL5	mutation	NA	"List of high quality, significant gene sets of size four identified in the GBM dataset. We have derived closed-form expressions for the maximum likelihood parameter values (Methods), providing reliable parameter estimates already for datasets of sample size 200. We simulated datasets from the reduced mutual exclusivity model, for increasing gene set sizes"	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	mutation	NA	GCSAML	mutation	NA	We further use our model to identify significant mutual exclusivity patterns with high coverage and low impurity in glioblastoma multiforme samples from The Cancer Genome Atlas	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	mutation	NA	IDH1	mutation	NA	We further use our model to identify significant mutual exclusivity patterns with high coverage and low impurity in glioblastoma multiforme samples from The Cancer Genome Atlas	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	mutation	NA	OTC	mutation	NA	We further use our model to identify significant mutual exclusivity patterns with high coverage and low impurity in glioblastoma multiforme samples from The Cancer Genome Atlas	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	GCSAML	mutation	NA	IDH1	mutation	NA	We further use our model to identify significant mutual exclusivity patterns with high coverage and low impurity in glioblastoma multiforme samples from The Cancer Genome Atlas	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	GCSAML	mutation	NA	OTC	mutation	NA	We further use our model to identify significant mutual exclusivity patterns with high coverage and low impurity in glioblastoma multiforme samples from The Cancer Genome Atlas	Text mining	24675718
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	IDH1	mutation	NA	OTC	mutation	NA	We further use our model to identify significant mutual exclusivity patterns with high coverage and low impurity in glioblastoma multiforme samples from The Cancer Genome Atlas	Text mining	24675718
Multiple Tissues	Pancancer	NA	ANO1	mutation	NA	ORAOV1	mutation	NA	"We applied our approach accounting for false positives to pan cancer genomic alteration data, a data collection from twelve distinct cancer types. Combining cancer datasets enables to mine for mutually exclusive patterns that are universal for the disease, but can be a problem for the search of patterns that are specific for one of the combined types"	Text mining	24675718
Multiple Tissues	Pancancer	NA	MYC	mutation	NA	POU5F1B	mutation	NA	"We applied our approach accounting for false positives to pan cancer genomic alteration data, a data collection from twelve distinct cancer types. Combining cancer datasets enables to mine for mutually exclusive patterns that are universal for the disease, but can be a problem for the search of patterns that are specific for one of the combined types"	Text mining	24675718
Multiple Tissues	Pancancer	NA	IFNA6	mutation	NA	KLHL9	mutation	NA	"We applied our approach accounting for false positives to pan cancer genomic alteration data, a data collection from twelve distinct cancer types. Combining cancer datasets enables to mine for mutually exclusive patterns that are universal for the disease, but can be a problem for the search of patterns that are specific for one of the combined types"	Text mining	24675718
Multiple Tissues	Pancancer	NA	IFNA6	mutation	NA	IFNE	mutation	NA	"We applied our approach accounting for false positives to pan cancer genomic alteration data, a data collection from twelve distinct cancer types. Combining cancer datasets enables to mine for mutually exclusive patterns that are universal for the disease, but can be a problem for the search of patterns that are specific for one of the combined types"	Text mining	24675718
Multiple Tissues	Pancancer	NA	CDKN2B	mutation	NA	IFNA6	mutation	NA	"We applied our approach accounting for false positives to pan cancer genomic alteration data, a data collection from twelve distinct cancer types. Combining cancer datasets enables to mine for mutually exclusive patterns that are universal for the disease, but can be a problem for the search of patterns that are specific for one of the combined types"	Text mining	24675718
Multiple Tissues	Pancancer	NA	IFNA13	mutation	NA	IFNA6	mutation	NA	"We applied our approach accounting for false positives to pan cancer genomic alteration data, a data collection from twelve distinct cancer types. Combining cancer datasets enables to mine for mutually exclusive patterns that are universal for the disease, but can be a problem for the search of patterns that are specific for one of the combined types"	Text mining	24675718
Multiple Tissues	Pancancer	NA	DMRTA1	mutation	NA	IFNA6	mutation	NA	"We applied our approach accounting for false positives to pan cancer genomic alteration data, a data collection from twelve distinct cancer types. Combining cancer datasets enables to mine for mutually exclusive patterns that are universal for the disease, but can be a problem for the search of patterns that are specific for one of the combined types"	Text mining	24675718
Multiple Tissues	Pancancer	NA	IFNA2	mutation	NA	IFNA6	mutation	NA	"We applied our approach accounting for false positives to pan cancer genomic alteration data, a data collection from twelve distinct cancer types. Combining cancer datasets enables to mine for mutually exclusive patterns that are universal for the disease, but can be a problem for the search of patterns that are specific for one of the combined types"	Text mining	24675718
Multiple Tissues	Pancancer	NA	CDKN2A-AS1	mutation	NA	IFNA6	mutation	NA	"We applied our approach accounting for false positives to pan cancer genomic alteration data, a data collection from twelve distinct cancer types. Combining cancer datasets enables to mine for mutually exclusive patterns that are universal for the disease, but can be a problem for the search of patterns that are specific for one of the combined types"	Text mining	24675718
Multiple Tissues	Pancancer	NA	IFNE	mutation	NA	KLHL9	mutation	NA	"We applied our approach accounting for false positives to pan cancer genomic alteration data, a data collection from twelve distinct cancer types. Combining cancer datasets enables to mine for mutually exclusive patterns that are universal for the disease, but can be a problem for the search of patterns that are specific for one of the combined types"	Text mining	24675718
Multiple Tissues	Pancancer	NA	CDKN2B	mutation	NA	KLHL9	mutation	NA	"We applied our approach accounting for false positives to pan cancer genomic alteration data, a data collection from twelve distinct cancer types. Combining cancer datasets enables to mine for mutually exclusive patterns that are universal for the disease, but can be a problem for the search of patterns that are specific for one of the combined types"	Text mining	24675718
Multiple Tissues	Pancancer	NA	IFNA13	mutation	NA	KLHL9	mutation	NA	"We applied our approach accounting for false positives to pan cancer genomic alteration data, a data collection from twelve distinct cancer types. Combining cancer datasets enables to mine for mutually exclusive patterns that are universal for the disease, but can be a problem for the search of patterns that are specific for one of the combined types"	Text mining	24675718
Multiple Tissues	Pancancer	NA	DMRTA1	mutation	NA	KLHL9	mutation	NA	"We applied our approach accounting for false positives to pan cancer genomic alteration data, a data collection from twelve distinct cancer types. Combining cancer datasets enables to mine for mutually exclusive patterns that are universal for the disease, but can be a problem for the search of patterns that are specific for one of the combined types"	Text mining	24675718
Multiple Tissues	Pancancer	NA	IFNA2	mutation	NA	KLHL9	mutation	NA	"We applied our approach accounting for false positives to pan cancer genomic alteration data, a data collection from twelve distinct cancer types. Combining cancer datasets enables to mine for mutually exclusive patterns that are universal for the disease, but can be a problem for the search of patterns that are specific for one of the combined types"	Text mining	24675718
Multiple Tissues	Pancancer	NA	CDKN2A-AS1	mutation	NA	KLHL9	mutation	NA	"We applied our approach accounting for false positives to pan cancer genomic alteration data, a data collection from twelve distinct cancer types. Combining cancer datasets enables to mine for mutually exclusive patterns that are universal for the disease, but can be a problem for the search of patterns that are specific for one of the combined types"	Text mining	24675718
Multiple Tissues	Pancancer	NA	CDKN2B	mutation	NA	IFNE	mutation	NA	"We applied our approach accounting for false positives to pan cancer genomic alteration data, a data collection from twelve distinct cancer types. Combining cancer datasets enables to mine for mutually exclusive patterns that are universal for the disease, but can be a problem for the search of patterns that are specific for one of the combined types"	Text mining	24675718
Multiple Tissues	Pancancer	NA	IFNA13	mutation	NA	IFNE	mutation	NA	"We applied our approach accounting for false positives to pan cancer genomic alteration data, a data collection from twelve distinct cancer types. Combining cancer datasets enables to mine for mutually exclusive patterns that are universal for the disease, but can be a problem for the search of patterns that are specific for one of the combined types"	Text mining	24675718
Multiple Tissues	Pancancer	NA	DMRTA1	mutation	NA	IFNE	mutation	NA	"We applied our approach accounting for false positives to pan cancer genomic alteration data, a data collection from twelve distinct cancer types. Combining cancer datasets enables to mine for mutually exclusive patterns that are universal for the disease, but can be a problem for the search of patterns that are specific for one of the combined types"	Text mining	24675718
