Tissue.origin	Cancer.type	Subtype	Gene.name1	Aberrance.type1	Aberrance.site1	Gene.name2	Aberrance.type2	Aberrance.site2	Description	Source	PMID
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	CDK14	mutation	NA	KRAS	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	EPHB1	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EPHB1	mutation	NA	KRAS	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	MAP3K3	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	KRAS	mutation	NA	MAP3K3	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	VAV2	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	KRAS	mutation	NA	VAV2	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	ERBB4	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	ERBB4	mutation	NA	KRAS	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	YES1	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	KRAS	mutation	NA	YES1	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	TSC1	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	KRAS	mutation	NA	TSC1	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	NTRK3	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	KRAS	mutation	NA	NTRK3	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	NF1	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	KRAS	mutation	NA	NF1	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	PTK2	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	KRAS	mutation	NA	PTK2	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	FES	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	FES	mutation	NA	KRAS	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	KLF6	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	KLF6	mutation	NA	KRAS	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	PAK6	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	KRAS	mutation	NA	PAK6	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	AURKB	mutation	NA	EGFR	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	AURKB	mutation	NA	KRAS	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	EPHA3	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EPHA3	mutation	NA	KRAS	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	TP63	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	KRAS	mutation	NA	TP63	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	TERT	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	KRAS	mutation	NA	TERT	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	CYSLTR2	mutation	NA	EGFR	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	CYSLTR2	mutation	NA	KRAS	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	FLT4	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	FLT4	mutation	NA	KRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	ATM	mutation	NA	TP53	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	PAK4	mutation	NA	TP53	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	IGF1	mutation	NA	TP53	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CYP27B1	mutation	NA	RB1	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDKN2B	mutation	NA	CYP27B1	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDKN2B	mutation	NA	RB1	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	MUC5B	mutation	NA	RB1	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDKN2B	mutation	NA	MUC5B	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	PPM1A	mutation	NA	RB1	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDKN2B	mutation	NA	PPM1A	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	OS9	mutation	NA	RB1	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDKN2B	mutation	NA	OS9	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CYP27B1	mutation	NA	MTAP	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	MTAP	mutation	NA	RB1	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	BRAF	mutation	NA	EGFR	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	BRAF	mutation	NA	FGFR1	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	BRAF	mutation	NA	HRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	BRAF	mutation	NA	KIT	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	BRAF	mutation	NA	KRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	BRAF	mutation	NA	NRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	BRAF	mutation	NA	PIK3CA	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	mutation	NA	FGFR1	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	mutation	NA	HRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	mutation	NA	KIT	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	mutation	NA	KRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	mutation	NA	NRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	mutation	NA	PIK3CA	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	FGFR1	mutation	NA	HRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	FGFR1	mutation	NA	KIT	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	FGFR1	mutation	NA	KRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	FGFR1	mutation	NA	NRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	FGFR1	mutation	NA	PIK3CA	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	HRAS	mutation	NA	KIT	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	HRAS	mutation	NA	KRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	HRAS	mutation	NA	NRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	HRAS	mutation	NA	PIK3CA	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	KIT	mutation	NA	KRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	KIT	mutation	NA	NRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	KIT	mutation	NA	PIK3CA	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	KRAS	mutation	NA	NRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	KRAS	mutation	NA	PIK3CA	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	NRAS	mutation	NA	PIK3CA	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	BRAF	mutation	NA	JAK2	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	mutation	NA	JAK2	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	HRAS	mutation	NA	JAK2	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	JAK2	mutation	NA	KIT	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	JAK2	mutation	NA	KRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	JAK2	mutation	NA	NRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	JAK2	mutation	NA	PIK3CA	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	BRAF	mutation	NA	ERBB2	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	mutation	NA	ERBB2	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	ERBB2	mutation	NA	HRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	ERBB2	mutation	NA	KIT	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	ERBB2	mutation	NA	KRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	ERBB2	mutation	NA	NRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	ERBB2	mutation	NA	PIK3CA	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	ERBB2	mutation	NA	FGFR1	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	FGFR1	mutation	NA	JAK2	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	BRAF	mutation	NA	FGFR3	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	mutation	NA	FGFR3	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	FGFR3	mutation	NA	HRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	FGFR3	mutation	NA	KIT	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	FGFR3	mutation	NA	KRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	FGFR3	mutation	NA	NRAS	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	FGFR3	mutation	NA	PIK3CA	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	BRAF	mutation	NA	PDGFRA	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	mutation	NA	PDGFRA	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	HRAS	mutation	NA	PDGFRA	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	KIT	mutation	NA	PDGFRA	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	KRAS	mutation	NA	PDGFRA	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	NRAS	mutation	NA	PDGFRA	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	PDGFRA	mutation	NA	PIK3CA	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	ERBB2	mutation	NA	JAK2	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	FGFR1	mutation	NA	FGFR3	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	FGFR3	mutation	NA	JAK2	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	JAK2	mutation	NA	PDGFRA	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	FGFR1	mutation	NA	PDGFRA	mutation	NA	MCMC 	Algorithm	21653252
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDK4	mutation	NA	CDKN2B	mutation	NA	iMCMC	Algorithm	24565034
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDKN2B	mutation	NA	TSPAN31	mutation	NA	iMCMC	Algorithm	24565034
Myeloid	Myeloid Neoplasm	Acute Myeloid Leukemia	IDH2	mutation	NA	PTPN11	mutation	NA	"CoMEt, The AML dataset contains whole-exome and copy number array data in 200 AML patients from The Cancer Genome Atlas (TCGA)"	Algorithm	26253137
Myeloid	Myeloid Neoplasm	Acute Myeloid Leukemia	IDH2	mutation	NA	PTPRT	mutation	NA	"CoMEt, The AML dataset contains whole-exome and copy number array data in 200 AML patients from The Cancer Genome Atlas (TCGA)"	Algorithm	26253137
Myeloid	Myeloid Neoplasm	Acute Myeloid Leukemia	IDH2	mutation	NA	PTPN14	mutation	NA	"CoMEt, The AML dataset contains whole-exome and copy number array data in 200 AML patients from The Cancer Genome Atlas (TCGA)"	Algorithm	26253137
Myeloid	Myeloid Neoplasm	Acute Myeloid Leukemia	IDH2	mutation	NA	TET2	mutation	NA	"CoMEt, The AML dataset contains whole-exome and copy number array data in 200 AML patients from The Cancer Genome Atlas (TCGA)"	Algorithm	26253137
Myeloid	Myeloid Neoplasm	Acute Myeloid Leukemia	PTPN11	mutation	NA	PTPRT	mutation	NA	"CoMEt, The AML dataset contains whole-exome and copy number array data in 200 AML patients from The Cancer Genome Atlas (TCGA)"	Algorithm	26253137
Myeloid	Myeloid Neoplasm	Acute Myeloid Leukemia	PTPN11	mutation	NA	PTPN14	mutation	NA	"CoMEt, The AML dataset contains whole-exome and copy number array data in 200 AML patients from The Cancer Genome Atlas (TCGA)"	Algorithm	26253137
Myeloid	Myeloid Neoplasm	Acute Myeloid Leukemia	PTPN11	mutation	NA	TET2	mutation	NA	"CoMEt, The AML dataset contains whole-exome and copy number array data in 200 AML patients from The Cancer Genome Atlas (TCGA)"	Algorithm	26253137
Myeloid	Myeloid Neoplasm	Acute Myeloid Leukemia	PTPN14	mutation	NA	PTPRT	mutation	NA	"CoMEt, The AML dataset contains whole-exome and copy number array data in 200 AML patients from The Cancer Genome Atlas (TCGA)"	Algorithm	26253137
Myeloid	Myeloid Neoplasm	Acute Myeloid Leukemia	PTPRT	mutation	NA	TET2	mutation	NA	"CoMEt, The AML dataset contains whole-exome and copy number array data in 200 AML patients from The Cancer Genome Atlas (TCGA)"	Algorithm	26253137
Myeloid	Myeloid Neoplasm	Acute Myeloid Leukemia	PTPN14	mutation	NA	TET2	mutation	NA	"CoMEt, The AML dataset contains whole-exome and copy number array data in 200 AML patients from The Cancer Genome Atlas (TCGA)"	Algorithm	26253137
Myeloid	Myeloid Neoplasm	Acute Myeloid Leukemia	ARID4B	mutation	NA	ASXL2	mutation	NA	"CoMEt, The AML dataset contains whole-exome and copy number array data in 200 AML patients from The Cancer Genome Atlas (TCGA)"	Algorithm	26253137
